scenario_id,case_name,num_generators,time_horizon,objective,solve_time,gap,solver_status,termination_condition,feasible,error
35,case24,24,24,1078126.3713661705,0.25729606102686375,0.000996547648389354,ok,optimal,True,
36,case24,24,24,939213.7639341259,0.17308428103569895,0.000995995781636751,ok,optimal,True,
37,case24,24,24,932465.3454700737,0.18476374400779605,5.444359869049164e-05,ok,optimal,True,
38,case24,24,24,1065738.2050875528,0.23973556305281818,0.0009971815901685115,ok,optimal,True,
39,case24,24,24,897474.7097968182,0.15604967100080103,0.0008209988342480901,ok,optimal,True,
40,case24,24,24,932822.9277624561,0.14335245301481336,0.0009987918233723566,ok,optimal,True,
41,case24,24,24,1016519.7693379854,0.3505773269571364,0.0007660474579859054,ok,optimal,True,
42,case24,24,24,1068567.2008867234,0.198661396978423,0.0006514685057472411,ok,optimal,True,
43,case24,24,24,1116522.5668514129,0.2811903830152005,0.0009817903795838474,ok,optimal,True,
44,case24,24,24,1157464.5295496066,0.29171135800424963,0.0005444725623811164,ok,optimal,True,
45,case24,24,24,923349.1196993194,0.1945219199405983,0.0009945075735480326,ok,optimal,True,
46,case24,24,24,968372.0380882137,0.3183485750341788,0.0006122983316161741,ok,optimal,True,
47,case24,24,24,921478.9064390708,0.2732708650873974,0.00037620574238657453,ok,optimal,True,
48,case24,24,24,1070162.1788195749,0.3717034130822867,0.0006451889211782041,ok,optimal,True,
49,case24,24,24,1114882.8596670667,0.2342408651020378,0.00013461556653023148,ok,optimal,True,
50,case24,24,24,992139.3342704723,0.24097410996910185,0.00042993897337851065,ok,optimal,True,
51,case24,24,24,993679.5320403384,0.19152231491170824,0.0009935665191559786,ok,optimal,True,
52,case24,24,24,967584.005736788,0.20125059294514358,0.0005334921787712954,ok,optimal,True,
53,case24,24,24,1111400.7610814641,0.3209026769036427,0.0008460455930076909,ok,optimal,True,
54,case24,24,24,1032614.086032668,0.4181068670004606,0.00099899378049732,ok,optimal,True,
55,case24,24,24,932310.2875097236,0.19147648697253317,0.0009441806822579925,ok,optimal,True,
56,case24,24,24,1066497.3327996184,0.3281548200175166,0.0009059020161218564,ok,optimal,True,
57,case24,24,24,1097089.6551852317,0.2573035240639001,0.0009970153267208723,ok,optimal,True,
58,case24,24,24,1050243.8090288301,0.2965454969089478,4.4338398694141256e-16,ok,optimal,True,
59,case24,24,24,1021127.9595108478,0.2069485429674387,0.0005110607329610405,ok,optimal,True,
